,Price,Street,City,Province,Bed,Bath,sqft
41,599000,915-181 Dundas Street E,Toronto,ON,1+1 bed,1 bath,500-599 sqft
42,599900,810-797 Don Mills Road,Toronto,ON,1+1 bed,2 bath,800-899 sqft
43,1649000,82 Mosedale Crescent,Toronto,ON,4+1 bed,4 bath,
44,1098000,3 Puma Drive,Toronto,ON,4+2 bed,5 bath,
45,395000,501-921 Midland Avenue,Toronto,ON,1 bed,1 bath,600-699 sqft
46,1068000,2207-28 Wellesley Street E,Toronto,ON,2 bed,2 bath,700-799 sqft
47,699900,411-60 Mendelssohn Street,Toronto,ON,2 bed,2 bath,800-899 sqft
48,899000,117-24 Fundy Bay Boulevard,Toronto,ON,3+1 bed,3 bath,1400-1599 sqft
49,1348000,611 Oxford Street,Toronto,ON,3+1 bed,2 bath,
50,888000,83 Kerbar Road,Toronto,ON,4+2 bed,4 bath,
51,880000,113 Wildwood Crescent,Toronto,ON,2 bed,1 bath,
52,1288888,58 Tideswell Boulevard E,Toronto,ON,4+3 bed,4 bath,3000-3500 sqft
53,998888,1501 Danforth Road,Toronto,ON,3+2 bed,3 bath,
54,1299000,21 Humphrey Gate,Toronto,ON,3+1 bed,3 bath,
55,3999000,PH5501-50 Charles Street E,Toronto,ON,2 bed,3 bath,1800-1999 sqft
56,3000000,54 Blue Forest Drive,Toronto,ON,4+1 bed,4 bath,2000-2500 sqft
57,868000,1601-18 Hollywood Avenue,Toronto,ON,2+1 bed,2 bath,1200-1399 sqft
58,849999,709-58 Marine Parade Drive,Toronto,ON,1+1 bed,1 bath,700-799 sqft
59,788800,20-34 Dundalk Drive,Toronto,ON,3+1 bed,2 bath,1200-1399 sqft
60,1098000,2409-386 Yonge Street,Toronto,ON,2 bed,2 bath,800-899 sqft
61,749786,1208-565 Wilson Avenue,Toronto,ON,2 bed,2 bath,1000-1199 sqft
62,988888,5 Brownspring Road,Toronto,ON,4 bed,2 bath,
63,1849000,198 Melrose Avenue,Toronto,ON,4 bed,3 bath,1500-2000 sqft
64,699000,903-88 Broadway Avenue,Toronto,ON,1+1 bed,1 bath,600-699 sqft
65,999000,8 Porter Avenue,Toronto,ON,3+1 bed,2 bath,1100-1500 sqft
66,1999000,983 Dupont Street,Toronto,ON,– bed,3 bath,
67,2449999,1086 Queen Street W,Toronto,ON,Store W/apt/office,2995 sqft,
68,649000,1111-15 Singer Court,Toronto,ON,1+1 bed,2 bath,700-799 sqft
69,1999000,169 Lake Prom,Toronto,ON,2 bed,1 bath,
70,999800,15 Loradeen Crescent,Toronto,ON,4+1 bed,2 bath,
71,899000,61 Rochman Boulevard,Toronto,ON,3+2 bed,2 bath,
72,249900,335-4645 Jane Street,Toronto,ON,2 bed,1 bath,900-999 sqft
73,850000,201-24 Noble Street,Toronto,ON,1 bed,1 bath,700-799 sqft
74,698888,623-85 Queens Wharf Road,Toronto,ON,1+1 bed,1 bath,600-699 sqft
75,1599000,2656 Kennedy Road,Toronto,ON,5+3 bed,4 bath,
76,599900,2221-165 Legion Road,Toronto,ON,1+1 bed,1 bath,500-599 sqft
77,1199000,6 Pelmar Place,Toronto,ON,3+2 bed,2 bath,
78,985900,2555 Dundas Street W,Toronto,ON,1+1 bed,2 bath,
79,599900,2803-18 Spring Garden Avenue,Toronto,ON,2 bed,1 bath,700-799 sqft
80,1698000,159 Cassandra Boulevard,Toronto,ON,4 bed,3 bath,2000-2500 sqft
81,950000,D-55 View Green Crescent,Toronto,ON,3 bed,3 bath,
82,899988,28 Crestwood Drive,Toronto,ON,3+1 bed,4 bath,1500-2000 sqft
83,1050000,265 Monarch Park Avenue,Toronto,ON,2 bed,2 bath,
84,599000,413-1401 O'connor Drive,Toronto,ON,1+1 bed,2 bath,600-699 sqft
85,899000,9 Dolores Road,Toronto,ON,3 bed,2 bath,
86,2395000,180 Yonge Boulevard,Toronto,ON,4+1 bed,4 bath,
87,599900,903-236 Albion Road,Toronto,ON,3 bed,2 bath,1200-1399 sqft
88,799000,1108-75 St Nicholas Street,Toronto,ON,1 bed,1 bath,500-599 sqft
89,2988888,1490 Islington Avenue,Toronto,ON,6 bed,4 bath,3500-5000 sqft
90,675000,1102-100 Mornelle Court,Toronto,ON,5 bed,3 bath,2000-2249 sqft
91,799000,57-100 Bridletowne Circle,Toronto,ON,3 bed,2 bath,1200-1399 sqft
92,899998,1608-33 Harboursquare Square,Toronto,ON,1 bed,1 bath,1000-1199 sqft
93,604900,713-55 Ontario Street,Toronto,ON,1 bed,1 bath,0-499 sqft
94,549999,1906-255 Village Green Square,Toronto,ON,1+1 bed,2 bath,600-699 sqft
95,699900,204-799 College Street,Toronto,ON,1+1 bed,1 bath,700-799 sqft
96,1349999,62 Lynmont Road,Toronto,ON,4+1 bed,3 bath,
97,599000,1009-7 Michael Power Place,Toronto,ON,1 bed,1 bath,500-599 sqft
98,625000,208-60 Stevenson Road,Toronto,ON,3 bed,2 bath,1200-1399 sqft
99,1339900,206-800 Broadview Avenue,Toronto,ON,2+1 bed,2 bath,1000-1199 sqft
100,489000,304-4091 Sheppard Avenue E,Toronto,ON,3 bed,2 bath,1200-1399 sqft
101,899000,913-3237 Bayview Avenue,Toronto,ON,2 bed,2 bath,1000-1199 sqft
102,1328000,225 Birkdale Road,Toronto,ON,4+1 bed,2 bath,
103,988088,3208-125 Peter Street,Toronto,ON,2 bed,1 bath,501 to 1000 sqft
104,859000,2310-197 Yonge Street,Toronto,ON,1+1 bed,1 bath,600-699 sqft
105,750000,2008-1461 Lawrence Avenue W,Toronto,ON,2 bed,2 bath,700-799 sqft
106,499000,2113-10 Martha Eaton Way,Toronto,ON,3 bed,2 bath,1000-1199 sqft
107,495000,111-4060 Lawrence Avenue E,Toronto,ON,3 bed,3 bath,1600-1799 sqft
108,649000,314-1470 Midland Avenue,Toronto,ON,2 bed,2 bath,800-899 sqft
109,1266800,608-123 Portland Street,Toronto,ON,2 bed,2 bath,800-899 sqft
110,799000,527-55 Ann O'reilly Road,Toronto,ON,2+1 bed,2 bath,800-899 sqft
111,749000,GPH24-1 Edgewater Drive,Toronto,ON,1 bed,1 bath,500-599 sqft
112,1099000,50 Blackwater Crescent,Toronto,ON,3+2 bed,3 bath,
113,649900,S443-35 Rolling Mills Road,Toronto,ON,1 bed,1 bath,500-599 sqft
114,528000,3406-75 St Nicholas Street,Toronto,ON,– bed,1 bath,0-499 sqft
115,999000,110 Emerson Avenue,Toronto,ON,2 bed,2 bath,
116,1650000,80 Kitchener Road,Toronto,ON,3+1 bed,4 bath,
117,1050000,608-20 Shore Breeze Drive,Toronto,ON,2 bed,2 bath,900-999 sqft
118,799000,419-38 Cameron Street,Toronto,ON,2 bed,2 bath,700-799 sqft
119,895000,201-95 Lombard Street,Toronto,ON,1+1 bed,2 bath,1000-1199 sqft
120,999000,38 Palmerston Avenue,Toronto,ON,2+1 bed,2 bath,
121,675000,617-10 Parklawn Road,Toronto,ON,1 bed,1 bath,500-599 sqft
122,399900,107-45 Sunrise Avenue,Toronto,ON,2 bed,1 bath,900-999 sqft
123,1750000,246 Campbell Avenue N,Toronto,ON,3+1 bed,4 bath,1500-2000 sqft
124,289000,339-4645 Jane Street,Toronto,ON,2 bed,1 bath,800-899 sqft
125,659000,801-30 Hayden Street,Toronto,ON,1 bed,1 bath,600-699 sqft
126,599900,1307-50 Forest Manor Road,Toronto,ON,1+1 bed,1 bath,0-499 sqft
127,599000,410-59 East Liberty Street,Toronto,ON,1+1 bed,1 bath,600-699 sqft
128,1789000,493 Clendenan Avenue,Toronto,ON,3 bed,4 bath,2500-3000 sqft
129,1738000,260 Rumsey Road,Toronto,ON,3 bed,1 bath,
130,649000,1111-2150 Lawrence Avenue,Toronto,ON,1 bed,1 bath,500-599 sqft
131,889000,1002-77 Harbour Square,Toronto,ON,2 bed,2 bath,900-999 sqft
132,988000,TH-111-367 Beecroft Road,Toronto,ON,3 bed,2 bath,1200-1399 sqft
133,1888000,4909-1 Yorkville Avenue,Toronto,ON,3 bed,2 bath,1000-1199 sqft
134,849900,38 Red Fox Place,Toronto,ON,3 bed,3 bath,
135,549900,611-716 The West Mall Drive,Toronto,ON,2+1 bed,1 bath,1000-1199 sqft
136,749900,828-3091 Dufferin Street,Toronto,ON,2 bed,2 bath,600-699 sqft
137,599000,606-25 Town Centre Court,Toronto,ON,1+1 bed,1 bath,600-699 sqft
138,1600000,104 Wendell Avenue,Toronto,ON,– bed,– bath,
139,689990,206-15 Merchants' Wharf Street,Toronto,ON,1 bed,1 bath,600-699 sqft
140,959900,4504-88 Harbour Street,Toronto,ON,2 bed,2 bath,700-799 sqft
141,999998,72 Donald Avenue N,Toronto,ON,3+2 bed,2 bath,
142,928000,1 Terry Drive,Toronto,ON,3+1 bed,3 bath,
143,998000,50 Coquette Road,Toronto,ON,3+1 bed,2 bath,1100-1500 sqft
144,1950000,45 Glenthorne Drive,Toronto,ON,4 bed,5 bath,3000-3500 sqft
145,2978000,59 Olive Avenue,Toronto,ON,4+4 bed,5 bath,3500-5000 sqft
146,599000,913-18 Lee Centre Drive,Toronto,ON,1+1 bed,1 bath,600-699 sqft
147,649900,1103A-88 Corporate Drive,Toronto,ON,2 bed,2 bath,800-899 sqft
148,1677000,65 Saskatoon Drive,Toronto,ON,3+2 bed,2 bath,
149,2299999,13 Georgian Court,Toronto,ON,3 bed,3 bath,
150,1499900,16 Sumach Street,Toronto,ON,3+1 bed,3 bath,1100-1500 sqft
151,599999,2104-30 Meadowglen Place,Toronto,ON,1+1 bed,2 bath,600-699 sqft
152,624900,502-330 Richmond Street W,Toronto,ON,1 bed,1 bath,500-599 sqft
153,799900,208-330 Richmond Street W,Toronto,ON,1+1 bed,1 bath,600-699 sqft
154,618000,4205-210 Victoria Street,Toronto,ON,1 bed,1 bath,600-699 sqft
155,799000,2503-11 Charlotte Street,Toronto,ON,1+1 bed,1 bath,600-699 sqft
156,699000,1120-21 Nelson Street,Toronto,ON,2 bed,2 bath,700-799 sqft
157,857000,711-31 Bales Avenue,Toronto,ON,2 bed,2 bath,800-899 sqft
158,539000,1703-38 Iannuzzi Street,Toronto,ON,– bed,1 bath,0-499 sqft
159,724900,934-505 Richmond Street W,Toronto,ON,1 bed,1 bath,0-499 sqft
160,799000,4121-5 Sheppard Avenue E,Toronto,ON,1 bed,1 bath,500-599 sqft
161,598800,805-500 Sherbourne Street,Toronto,ON,1+1 bed,1 bath,600-699 sqft
162,1088000,60 Lexfield Avenue,Toronto,ON,3+1 bed,2 bath,
163,1188000,6 Murray Avenue,Toronto,ON,4+1 bed,3 bath,
164,3898000,732 Avenue Road,Toronto,ON,8 bed,4 bath,
165,799000,2210-763 Bay Street,Toronto,ON,1+1 bed,1 bath,700-799 sqft
166,699900,307-92 King Street E,Toronto,ON,2 bed,2 bath,900-999 sqft
167,999999,75 Campbell Avenue,Toronto,ON,3 bed,2 bath,
168,988800,54 Halsey Avenue,Toronto,ON,3+2 bed,2 bath,
169,699999,C309-243 Perth Avenue,Toronto,ON,1 bed,1 bath,600-699 sqft
170,989900,803-21 Grand Magazine Street,Toronto,ON,2+1 bed,2 bath,1000-1199 sqft
171,999000,TH11-60 Forest Manor Road,Toronto,ON,3+1 bed,3 bath,1800-1999 sqft
172,949900,2303-33 Bay Street,Toronto,ON,2+1 bed,2 bath,900-999 sqft
173,750000,1808-1001 Bay Street,Toronto,ON,1+1 bed,1 bath,600-699 sqft
174,2399900,203 High Park Avenue,Toronto,ON,6+2 bed,3 bath,
175,799900,803-55 Stewart Street,Toronto,ON,1 bed,1 bath,700-799 sqft
176,1399000,61 Claybrooke Street,Toronto,ON,4 bed,4 bath,2000-2500 sqft
177,589000,201-1038 Mcnicoll Avenue,Toronto,ON,2 bed,2 bath,800-899 sqft
178,799000,1804-120 Harrison Garden Boulevard,Toronto,ON,1 bed,1 bath,600-699 sqft
179,797000,2-34 York Minster Road,Toronto,ON,2 bed,2 bath,1000-1199 sqft
180,899000,2 Clouston Avenue,Toronto,ON,3+1 bed,2 bath,700-1100 sqft
181,1269888,10 Deevale Road,Toronto,ON,3 bed,3 bath,
182,1488000,8 Wigmore Drive,Toronto,ON,7+1 bed,4 bath,
183,549000,420 Mill Road,Toronto,ON,2 bed,1 bath,1100 sqft
184,599000,1013-85 George Appleton Way,Toronto,ON,2+1 bed,2 bath,900-999 sqft
185,499900,302-3311 Kingston Road,Toronto,ON,2 bed,1 bath,800-899 sqft
186,629000,U313-816 Landsdowne Avenue,Toronto,ON,2 bed,1 bath,
187,499999,1102-41 Markbrook Lane,Toronto,ON,2 bed,2 bath,1000-1199 sqft
188,678800,613-205 The Donway West ,Toronto,ON,1+1 bed,1 bath,600-699 sqft
189,829000,909-5162 Yonge Street,Toronto,ON,2 bed,1 bath,800-899 sqft
190,1399000,51 Norgrove Crescent,Toronto,ON,3 bed,2 bath,
191,799900,16 Duffort Court,Toronto,ON,3+1 bed,2 bath,
192,849900,141 Village Greenway ,Toronto,ON,4 bed,2 bath,1600-1799 sqft
193,775000,808-935 Sheppard Avenue W,Toronto,ON,2 bed,2 bath,800-899 sqft
194,809990,408-7 Concorde Place,Toronto,ON,2+1 bed,2 bath,1200-1399 sqft
195,799000,4105-55 Ann O'reilly Road,Toronto,ON,2+1 bed,2 bath,700-799 sqft
196,549000,1208-420 Mill Road,Toronto,ON,2 bed,1 bath,1000-1199 sqft
197,899000,102-1093 Kingston Road,Toronto,ON,2 bed,2 bath,1000-1199 sqft
198,649900,1409-125 Village Green Square,Toronto,ON,2 bed,2 bath,800-899 sqft
199,649000,1611-25 Sunrise Avenue,Toronto,ON,3 bed,2 bath,1000-1199 sqft
200,699000,2210-50 Lynn Williams Street,Toronto,ON,1+1 bed,1 bath,600-699 sqft
201,679000,902-33 Helendale Avenue,Toronto,ON,1+1 bed,1 bath,600-699 sqft
202,799000,240 Old Weston Road,Toronto,ON,3+1 bed,3 bath,
203,699900,501-115 Antibes Drive,Toronto,ON,2 bed,2 bath,1200-1399 sqft
204,648888,213-1205 Queen Street W,Toronto,ON,1 bed,1 bath,500-599 sqft
205,1595000,72 Lynnhaven Road,Toronto,ON,3+1 bed,2 bath,
206,599900,202-25 Strangford Lane,Toronto,ON,2 bed,2 bath,1000-1199 sqft
207,925000,1208-22 Wellesley Street E,Toronto,ON,2+1 bed,2 bath,900-999 sqft
208,899000,709-39 Queens Quay E,Toronto,ON,1+1 bed,2 bath,700-799 sqft
209,2299000,1269 Royal York Road,Toronto,ON,3+1 bed,3 bath,1100-1500 sqft
210,899000,76 Laburnham Avenue,Toronto,ON,2+2 bed,2 bath,
211,899900,4104-41 Sudbury Street,Toronto,ON,3 bed,2 bath,1000-1199 sqft
212,479900,1001-234 Albion Road,Toronto,ON,2 bed,1 bath,1000-1199 sqft
213,849000,180 Drayton Avenue,Toronto,ON,3 bed,2 bath,
214,819000,711-62 Forest Manor Road,Toronto,ON,2 bed,2 bath,800-899 sqft
215,1880000,50 Bickerton Crescent,Toronto,ON,4+3 bed,4 bath,
216,699000,402-19 Barberry Place,Toronto,ON,2 bed,2 bath,800-899 sqft
217,980000,3 Bead Fern Way,Toronto,ON,3 bed,2 bath,1000-1199 sqft
218,599000,#512-1338 York Mills Road,Toronto,ON,3 bed,2 bath,1200-1399 sqft
219,649900,1103-5418 Yonge Street,Toronto,ON,1+1 bed,1 bath,700-799 sqft
220,1080000,11 Kenscott Road,Toronto,ON,3 bed,2 bath,
221,649800,1908-120 Harrison Garden Boulevard,Toronto,ON,1+1 bed,1 bath,600-699 sqft
222,2299000,1269 Royal York Road,Toronto,ON,3+1 bed,3 bath,1100-1500 sqft
223,989000,516 Bellamy Road,Toronto,ON,3+1 bed,3 bath,
224,499000,8-19 Derrydown Road,Toronto,ON,2+1 bed,3 bath,1000-1199 sqft
225,689000,511-80 Mill Street,Toronto,ON,1+1 bed,1 bath,600-699 sqft
226,899000,31 Mossbrook Crescent,Toronto,ON,4+2 bed,4 bath,
227,2780000,5 Elmsthorpe Avenue,Toronto,ON,3+3 bed,5 bath,2500-3000 sqft
228,1495000,281 Laird Drive,Toronto,ON,2+1 bed,2 bath,
229,419900,175-209 Fort York Boulevard,Toronto,ON,– bed,1 bath,0-499 sqft
230,1600000,2271 Lawrence Avenue W,Toronto,ON,3+1 bed,4 bath,2000-2500 sqft
231,688000,22 East Haven Drive,Toronto,ON,2+1 bed,2 bath,900-999 sqft
232,1899900,1-35 Dervock Crescent,Toronto,ON,4 bed,4 bath,2250-2499 sqft
233,2500000,308 Ridgewood Road,Toronto,ON,4+1 bed,6 bath,3500-5000 sqft
234,950000,2613-10 Yonge Street,Toronto,ON,2 bed,2 bath,900-999 sqft
235,799000,4215-75 Queens Wharf Road,Toronto,ON,2 bed,2 bath,800-899 sqft
236,799000,16 Forty Third Street,Toronto,ON,2 bed,1 bath,
237,699000,27-1363 Neilson Road,Toronto,ON,3 bed,3 bath,1000-1199 sqft
238,619900,3408-8 York Street,Toronto,ON,1 bed,1 bath,500-599 sqft
239,1328000,14 Ranwood Drive,Toronto,ON,2+1 bed,2 bath,
240,999888,6227 Lawrence Avenue E,Toronto,ON,4+1 bed,4 bath,2000-2500 sqft
241,1328000,114 Pintail Crescent,Toronto,ON,4+1 bed,3 bath,
242,728800,4802-181 Dundas Street E,Toronto,ON,1+1 bed,1 bath,500-599 sqft
243,1298800,22 Neddie Drive,Toronto,ON,3+2 bed,2 bath,
244,639000,401-78 Harrison Garden Boulevard N,Toronto,ON,1+1 bed,1 bath,600-699 sqft
245,629000,UNIT313-816 Lansdowne Avenue,Toronto,ON,1+1 bed,1 bath,600-699 sqft
246,899000,140-124 Dusay Place N,Toronto,ON,3+2 bed,3 bath,1200-1399 sqft
247,1599000,202-9 Burnhamthorpe Crescent,Toronto,ON,2 bed,2 bath,1800-1999 sqft
248,999999,404-1 The Esplanade ,Toronto,ON,2+1 bed,2 bath,900-999 sqft
249,750000,3311-16 Bonnycastle Street,Toronto,ON,1 bed,1 bath,600-699 sqft
250,155000,818-4645 Jane Street,Toronto,ON,1 bed,1 bath,700-799 sqft
251,549000,2604-70 Temperance Street,Toronto,ON,– bed,1 bath,0-499 sqft
252,899900,39 Wayford Crescent,Toronto,ON,3+1 bed,3 bath,
253,598800,401-30 Sunrise Avenue,Toronto,ON,4 bed,2 bath,1200-1399 sqft
254,869000,56 Delemere Avenue,Toronto,ON,2+1 bed,1 bath,
255,699000,205-1795 Marhkam Road,Toronto,ON,2 bed,2 bath,501 to 1000 sqft
256,599999,1508-1 De Boers Drive,Toronto,ON,1+1 bed,1 bath,600-699 sqft
257,799000,PH10-61 Town Centre Court,Toronto,ON,3 bed,2 bath,1000-1199 sqft
258,1299900,159 Boultbee Avenue,Toronto,ON,3+1 bed,5 bath,1500-2000 sqft
259,599000,N-8 Rosebank Drive,Toronto,ON,1+1 bed,1 bath,700-799 sqft
260,1799999,1032 Davenport Road,Toronto,ON,5 bed,3 bath,
261,629900,903-840 Queens Plate Drive,Toronto,ON,1+1 bed,2 bath,700-799 sqft
262,1499000,TH 103-6 Parkwood Avenue,Toronto,ON,2 bed,3 bath,1000-1199 sqft
263,1299000,616-29 Queens Quay E,Toronto,ON,2+1 bed,3 bath,1200-1399 sqft
264,834000,330-251 Manitoba Street,Toronto,ON,2+1 bed,2 bath,700-799 sqft
265,634900,2510-50 Brian Harrison Way,Toronto,ON,1+1 bed,1 bath,600-699 sqft
266,1349000,#2802-2 Church Street,Toronto,ON,2+1 bed,3 bath,900-999 sqft
267,569900,211-50 Gulliver Road,Toronto,ON,1+1 bed,1 bath,700-799 sqft
268,1299900,154 Cocksfield Avenue,Toronto,ON,– bed,– bath,
269,729000,321-251 Manitoba Street,Toronto,ON,1+1 bed,1 bath,600-699 sqft
270,499000,1103-3233 Eglinton Avenue E,Toronto,ON,2+1 bed,2 bath,1200-1399 sqft
271,4500000,5-350 Davenport Road,Toronto,ON,2 bed,3 bath,1800-1999 sqft
272,1498500,22 Cloverdale Road,Toronto,ON,9+3 bed,4 bath,1500-2000 sqft
273,788000,16 Howell Square,Toronto,ON,3+2 bed,2 bath,
274,369000,2202-330 Dixon Road,Toronto,ON,2 bed,1 bath,501 to 1000 sqft
275,680000,103-66 Sidney Belsey Crescent,Toronto,ON,3 bed,2 bath,1200-1399 sqft
276,860000,50 Thomas Riley Road,Toronto,ON,2 bed,2 bath,800-899 sqft
277,899000,26-50 Bridletowne Circle,Toronto,ON,3+1 bed,3 bath,1200-1399 sqft
278,878000,2609-10 York Street,Toronto,ON,1 bed,1 bath,600-699 sqft
279,1299000,28 Dingwall Avenue,Toronto,ON,4 bed,2 bath,2500-3000 sqft
280,699000,205-1795 Markham Road,Toronto,ON,2 bed,2 bath,900-999 sqft
281,749900,909-125 Western Battery Road,Toronto,ON,1+1 bed,2 bath,700-799 sqft
282,1399900,5311-7 Grenville Street,Toronto,ON,3 bed,2 bath,800-899 sqft
283,1648888,11 Sherin Court,Toronto,ON,4+1 bed,4 bath,
284,2349000,71 Clissold Road,Toronto,ON,3+1 bed,4 bath,1500-2000 sqft
285,929900,416-608 Richmond Street W,Toronto,ON,2 bed,1 bath,800-899 sqft
286,1088000,45 Deans Drive,Toronto,ON,4 bed,3 bath,1500-2000 sqft
287,649000,2206-21 Hillcrest Avenue,Toronto,ON,1+1 bed,2 bath,800-899 sqft
288,1049000,16 Mooregate Avenue,Toronto,ON,3 bed,1 bath,1100-1500 sqft
289,1249000,37 Burnview Crescent,Toronto,ON,3+1 bed,3 bath,
290,3590000,29 Threadneedle Crescent,Toronto,ON,4+2 bed,6 bath,
291,1148000,48 Festival Drive,Toronto,ON,3+1 bed,4 bath,1500-2000 sqft
292,699000,4009-36 Park Lawn Road,Toronto,ON,1+1 bed,1 bath,600-699 sqft
293,729000,5111-30 Shore Breeze Drive,Toronto,ON,1 bed,1 bath,500-599 sqft
294,439888,413-5131 Sheppard Avenue E,Toronto,ON,– bed,1 bath,0-499 sqft
295,579000,1231-38 Grand Magazine Street,Toronto,ON,1 bed,1 bath,500-599 sqft
296,3750000,1746 Wilson Avenue,Toronto,ON,– bed,10 bath,
297,1858000,28 Morbank Drive,Toronto,ON,4+3 bed,4 bath,
298,505000,1611-200 Victoria Street,Toronto,ON,– bed,1 bath,0-499 sqft
299,929000,13-260 Finch Avenue E,Toronto,ON,2+1 bed,3 bath,800-899 sqft
300,590000,707-185 Bonis Avenue,Toronto,ON,1+1 bed,1 bath,700-799 sqft
301,699900,507-1 Belsize Drive,Toronto,ON,1+1 bed,2 bath,600-699 sqft
302,729000,906-115 Antibes Drive,Toronto,ON,3+1 bed,2 bath,1600-1799 sqft
303,679000,4502-45 Sudbury Street,Toronto,ON,2 bed,1 bath,700-799 sqft
304,949000,1703-609 Avenue Road,Toronto,ON,2 bed,2 bath,600-699 sqft
305,999000,71 West Oak Crescent,Toronto,ON,3+1 bed,4 bath,1500-2000 sqft
306,1449800,51 Delroy Drive,Toronto,ON,2+1 bed,2 bath,
307,659000,834-165 Legion Road N,Toronto,ON,1+1 bed,1 bath,500-599 sqft
308,842000,207-75 York Mills Road,Toronto,ON,2 bed,2 bath,1000-1199 sqft
309,518000,2712-40 Homewood Avenue,Toronto,ON,1 bed,1 bath,500-599 sqft
310,569900,1303-3091 Dufferin Street,Toronto,ON,1 bed,1 bath,500-599 sqft
311,1798800,7209-388 Yonge Street,Toronto,ON,2+1 bed,2 bath,1200-1399 sqft
312,674900,604-15 Maitland Place,Toronto,ON,1+1 bed,1 bath,800-899 sqft
313,899000,902-825 Church Street,Toronto,ON,2+1 bed,2 bath,800-899 sqft
314,1949900,17 Ferrier Avenue,Toronto,ON,3+1 bed,4 bath,2000-2500 sqft
315,519900,408-2756 Old Leslie Street,Toronto,ON,1 bed,1 bath,500-599 sqft
316,499000,1904-60 Pavane Link Way,Toronto,ON,2 bed,1 bath,800-899 sqft
317,999900,4602-125 Blue Jays Way,Toronto,ON,2+1 bed,2 bath,700-799 sqft
318,999900,65 Clayhall Crescent,Toronto,ON,4 bed,2 bath,
319,1450000,78 Historic Terrace,Toronto,ON,4+1 bed,4 bath,
320,4989000,15 Castle Frank Crescent,Toronto,ON,4+1 bed,5 bath,3500-5000 sqft
